file,cm_00,cm_01,cm_02,cm_03,cm_10,cm_11,cm_12,cm_13,cm_20,cm_21,cm_22,cm_23,cm_30,cm_31,cm_32,cm_33
4T1002,770,138,176,70,526,181,248,95,442,136,281,87,465,132,233,106
4T1004,392,177,0,156,194,430,0,361,1,0,775,0,194,422,0,356
4T1005,619,0,0,64,10,361,100,277,0,128,465,0,67,205,111,686
4T1006,98,0,426,397,0,895,0,0,107,0,460,316,79,0,306,517
4T1007,349,0,94,0,0,1140,0,179,159,0,402,0,0,624,0,273
4T1008,588,58,176,170,351,80,251,318,310,65,240,298,284,80,215,355
4T1009,189,244,282,270,66,608,159,151,145,275,334,204,149,251,160,401
4T1010,998,0,0,0,0,808,0,189,0,0,998,0,0,734,0,258
4T1012,118,46,58,40,47,520,227,66,47,444,248,94,55,442,242,103
4T1014,571,180,78,155,223,470,146,138,317,369,118,159,378,315,111,164
4T1015,584,140,61,159,274,359,141,167,98,111,612,161,344,163,215,248
